location,princ,irate,cscore,result
rural,975,7.5,702,default
suburban,690,7.25,704,default
suburban,688,7.25,693,non-default
rural,509,7,618,non-default
urban,651,7.5,631,default
rural,428,7.5,620,default
urban,222,7.25,500,default
urban,315,7.5,523,default
suburban,422,7.25,668,non-default
suburban,705,7.25,672,default
suburban,450,7.25,794,non-default
rural,1127,7.5,601,default
suburban,525,7,686,non-default
suburban,454,7,710,default
rural,1004,7.25,676,default
urban,251,7.25,673,default
suburban,369,7.5,501,non-default
urban,140,7,553,default
suburban,156,6.25,647,non-default
rural,874,7.25,738,default
suburban,742,7.75,564,default
suburban,742,7.25,657,default
suburban,188,6.75,476,default
suburban,674,7.25,665,default
suburban,779,7.25,724,default
suburban,581,7,699,default
suburban,406,7.75,644,default
suburban,195,8,666,default
suburban,622,7.25,703,default
urban,360,7.25,679,non-default
suburban,646,6.75,673,non-default
suburban,298,6.75,539,non-default
urban,459,7,667,default
urban,168,7,743,default
suburban,489,7.25,668,default
rural,511,7,433,non-default
suburban,371,7.75,592,non-default
suburban,321,6.5,642,non-default
suburban,523,7.25,693,default
urban,166,7.25,520,default
suburban,711,7,719,default
rural,549,8.25,671,default
suburban,1068,7.75,603,non-default
rural,421,7.25,623,non-default
rural,836,7.25,705,default
urban,550,7.5,570,default
suburban,686,6.75,674,non-default
suburban,869,7.25,827,non-default
suburban,231,6.5,806,non-default
suburban,665,6.75,701,non-default
suburban,460,7,660,non-default
suburban,880,7.75,587,default
suburban,482,7.75,722,non-default
suburban,415,7.25,705,default
suburban,576,7.25,663,default
rural,577,7.25,643,non-default
suburban,334,7,655,non-default
rural,631,6.5,665,non-default
urban,527,7,728,default
urban,465,7.25,668,default
suburban,483,7.25,711,non-default
suburban,321,7.5,659,default
suburban,654,7.25,721,non-default
suburban,760,7.25,681,default
suburban,352,7.25,573,non-default
suburban,533,7,744,default
suburban,409,7,698,non-default
suburban,765,7.25,708,default
rural,436,6.75,627,non-default
suburban,719,7.5,640,default
urban,497,7.25,714,default
suburban,362,7.25,676,default
urban,382,7,705,default
suburban,669,7.75,568,default
rural,1226,7.25,693,default
urban,527,7.25,646,default
rural,1074,7.5,654,default
urban,420,7,756,default
urban,357,7.75,425,default
suburban,471,7.25,665,default
urban,400,7.25,649,default
rural,787,6.75,674,non-default
urban,382,6.75,700,non-default
rural,339,7.5,626,non-default
rural,1271,7.25,736,default
suburban,746,7.25,654,non-default
rural,578,7,659,non-default
suburban,390,7.25,709,default
urban,280,7.5,511,default
urban,393,7.25,628,default
urban,192,7,654,non-default
urban,481,7.5,534,default
suburban,406,7,665,non-default
suburban,854,7.25,694,non-default
suburban,807,7.75,628,default
urban,210,7.25,457,default
urban,412,7,633,default
urban,394,7,707,default
suburban,800,7.5,750,non-default
urban,541,7.25,721,default
suburban,603,7.75,469,default
rural,339,7.5,613,default
urban,233,8,756,default
suburban,600,7.25,689,default
suburban,484,7.25,748,default
urban,608,7,686,default
suburban,251,7,638,non-default
suburban,514,7.5,598,non-default
rural,325,7,634,non-default
urban,404,7,672,non-default
suburban,727,6.75,702,non-default
rural,675,6.75,653,non-default
urban,442,7.25,646,default
urban,631,7,682,default
rural,465,7.25,641,non-default
suburban,706,7.25,643,default
suburban,585,7.75,713,non-default
rural,351,7.75,615,default
rural,845,6.75,662,non-default
urban,465,7.25,657,default
urban,191,7,449,default
urban,341,7,706,default
suburban,735,7,750,default
suburban,790,7,738,non-default
rural,348,7.25,635,default
suburban,969,7.25,683,default
rural,945,7.25,730,default
suburban,851,7,698,non-default
suburban,425,7.25,655,non-default
rural,1274,7.5,713,default
suburban,716,7.25,732,default
urban,614,7.25,654,default
rural,377,7.25,665,non-default
suburban,663,7.25,667,default
suburban,1055,7.25,782,non-default
suburban,300,7.25,493,default
suburban,279,7.75,619,default
suburban,608,7.5,670,default
rural,990,7.25,765,default
suburban,506,7.75,813,non-default
suburban,187,7,582,default
rural,385,7.25,633,non-default
rural,101,6.5,633,non-default
suburban,658,7.25,577,default
urban,170,7.75,401,default
suburban,791,7.25,724,non-default
suburban,932,7.25,670,default
urban,338,7.25,611,default
suburban,390,7.5,661,default
rural,511,7.25,596,non-default
urban,496,7.5,486,default
rural,365,6.25,846,non-default
suburban,866,8,495,default
urban,116,7,718,non-default
rural,1144,7.25,726,default
suburban,414,7,679,non-default
suburban,631,7.25,692,default
rural,1187,7.5,661,default
suburban,748,7.25,709,non-default
rural,453,7.25,626,non-default
suburban,347,7,554,default
urban,630,7.5,494,default
rural,678,7.25,619,non-default
urban,160,6.25,605,non-default
suburban,269,7.5,629,default
suburban,413,7.5,727,default
suburban,691,6.75,702,non-default
suburban,863,7.5,779,non-default
rural,912,7.25,758,default
suburban,669,7.25,671,default
suburban,993,7.5,772,non-default
rural,489,7,634,non-default
rural,671,6.75,652,non-default
rural,536,7.5,608,non-default
suburban,796,7.25,650,default
suburban,361,7.5,692,default
rural,1006,7.25,712,default
rural,1113,7.25,752,default
suburban,492,7.5,680,non-default
suburban,659,7.25,649,default
urban,530,7.75,563,default
suburban,241,6.75,561,default
suburban,801,7.25,704,default
rural,1071,7.5,655,default
rural,524,7,614,non-default
rural,870,7.25,742,default
rural,1011,7.5,696,default
suburban,380,7.5,601,default
urban,608,7.5,687,default
urban,397,7,674,non-default
urban,491,7.25,610,default
urban,213,8,708,default
suburban,474,7,663,non-default
suburban,290,7,677,non-default
rural,352,7.5,599,non-default
suburban,261,7,624,default
suburban,729,7.5,652,default
suburban,678,7.25,716,default
suburban,299,7,638,non-default
urban,385,8,568,default
rural,342,7.5,568,non-default
suburban,399,7.25,712,non-default
urban,284,7.5,633,default
suburban,1073,7.25,643,default
suburban,491,7,673,non-default
rural,1096,7.5,675,default
urban,649,6.75,762,non-default
rural,482,7.5,627,default
suburban,271,7.75,657,default
rural,579,7.5,658,default
rural,460,6.5,411,default
urban,261,7.25,652,non-default
suburban,589,6.75,676,non-default
urban,157,7.25,468,default
suburban,409,7,746,default
urban,576,7,722,non-default
suburban,690,7.25,693,default
suburban,860,6.75,748,non-default
urban,437,7,690,default
rural,380,6.75,552,non-default
suburban,594,7,674,non-default
suburban,798,7.75,575,default
urban,337,7.25,729,default
urban,476,7.5,648,default
urban,107,6.5,552,non-default
rural,1109,7.25,783,default
suburban,207,8,643,default
suburban,355,7.25,605,default
urban,232,7.5,610,default
suburban,847,7.5,679,non-default
rural,778,7.5,681,default
suburban,568,7.75,518,default
suburban,602,7,665,non-default
suburban,278,6.5,655,non-default
suburban,774,7.5,587,default
suburban,924,7.25,631,default
suburban,521,7.75,744,default
rural,282,7.5,543,non-default
rural,142,8.25,584,default
urban,612,7,668,default
urban,740,7.25,645,default
suburban,760,7.25,687,default
suburban,377,6.75,573,non-default
suburban,616,7.25,610,non-default
urban,702,7,742,default
suburban,764,7.25,700,non-default
urban,425,7,700,default
suburban,670,7,718,default
suburban,861,7.25,668,default
suburban,442,7.5,626,non-default
suburban,270,7.5,683,default
urban,661,7.5,600,default
suburban,293,7,545,default
suburban,885,7.25,650,default
suburban,438,7.25,587,non-default
suburban,655,7,748,default
rural,498,7.5,639,non-default
suburban,683,7,671,non-default
rural,998,7.25,701,default
urban,667,6.5,832,non-default
suburban,902,8,580,default
suburban,525,7.25,705,default
rural,432,7.25,574,non-default
suburban,181,7.75,679,default
urban,506,7,677,default
rural,643,7,628,non-default
rural,491,6.25,540,non-default
suburban,690,7.25,693,default
suburban,401,7.75,564,default
suburban,673,7.25,720,default
urban,298,7.75,682,non-default
suburban,345,7.5,648,default
rural,1154,7.25,690,default
rural,244,7.25,601,non-default
rural,926,7.25,714,default
urban,391,7,715,default
urban,262,7,695,non-default
rural,1178,7.5,748,default
suburban,437,7,699,default
suburban,611,7,672,non-default
urban,659,7.25,715,default
suburban,753,6.5,711,non-default
suburban,713,7.25,662,default
suburban,376,7.25,666,non-default
suburban,746,7,669,non-default
urban,728,7.5,658,default
suburban,438,7.25,783,non-default
suburban,814,7.25,703,default
suburban,664,7.25,777,non-default
suburban,324,7,490,default
suburban,818,7.75,593,non-default
urban,199,7,664,non-default
urban,150,6.75,373,non-default
suburban,253,7.75,650,default
suburban,295,7,637,default
suburban,632,7.25,679,default
suburban,340,7.25,506,non-default
suburban,696,8,561,default
suburban,583,7.25,658,default
urban,262,7.25,621,non-default
suburban,263,6.75,594,default
urban,262,8,677,default
rural,929,7.25,748,default
rural,375,7.5,590,non-default
urban,259,7,524,non-default
suburban,533,7.75,664,non-default
urban,487,7,685,default
urban,588,7.25,657,default
urban,466,7.75,715,default
urban,370,6.75,690,default
rural,387,7.25,629,non-default
suburban,664,7.25,713,default
rural,402,7,580,non-default
urban,362,7.5,519,default
suburban,263,6.5,696,non-default
suburban,481,7.25,672,non-default
rural,415,6.5,425,non-default
suburban,358,6.75,815,non-default
suburban,902,7.25,688,default
rural,924,7.25,679,default
suburban,612,7,756,default
rural,298,7.5,342,non-default
suburban,332,7.5,666,non-default
rural,687,7.5,635,non-default
suburban,302,7.5,634,non-default
rural,175,6.75,507,non-default
rural,277,7.75,611,non-default
urban,560,7,671,default
suburban,377,7,491,non-default
urban,610,7,671,default
urban,471,7.75,579,default
suburban,917,7.5,554,default
suburban,717,7.25,762,default
urban,532,7.75,574,default
suburban,295,6.75,622,default
suburban,617,7.25,676,default
suburban,847,6.5,701,non-default
urban,259,7,701,non-default
rural,262,7.25,613,non-default
urban,446,7.25,587,non-default
suburban,349,6.75,644,non-default
suburban,495,7.25,660,non-default
suburban,513,7,738,default
rural,528,6.75,623,non-default
suburban,213,7.5,679,default
suburban,594,6.75,709,non-default
urban,779,7.25,724,default
urban,477,7.5,696,default
suburban,520,7,717,default
suburban,886,7.25,712,default
urban,424,7,726,non-default
suburban,598,7,698,default
suburban,630,7.25,697,default
suburban,318,7,664,non-default
urban,412,7.25,682,default
suburban,221,7.75,658,default
suburban,326,7.5,761,non-default
rural,1002,7.5,665,default
urban,633,7.5,535,default
suburban,298,7.75,654,default
rural,953,7.25,690,default
urban,622,7.25,634,default
suburban,623,7,767,default
suburban,553,7.5,692,default
suburban,886,7.25,682,default
rural,613,6.75,588,non-default
suburban,492,8,674,default
suburban,873,8,555,default
urban,429,6.75,706,default
rural,1111,7.25,692,default
suburban,459,7.25,703,default
rural,741,7,648,non-default
suburban,339,7.5,530,default
suburban,551,7,696,default
urban,314,7.25,495,default
rural,590,8,684,default
urban,445,7.5,475,default
urban,499,7.5,716,default
rural,1078,7.25,738,default
suburban,288,7.75,654,default
suburban,671,7.25,670,default
suburban,727,7.5,647,non-default
urban,295,7.75,692,default
urban,321,8,669,default
suburban,326,6.25,652,non-default
suburban,826,7.25,650,default
suburban,625,7,750,non-default
suburban,704,7.25,702,default
suburban,385,7.75,665,default
suburban,446,7.25,787,non-default
urban,317,7.25,559,non-default
suburban,338,6.75,514,non-default
suburban,545,7,627,non-default
suburban,330,7.5,691,default
urban,32,7,697,non-default
suburban,553,7.25,695,default
suburban,555,7.25,666,default
suburban,716,7.5,593,default
suburban,689,7.25,737,default
rural,803,6.5,655,non-default
suburban,687,7,677,default
suburban,710,7.25,726,default
suburban,425,7.75,698,non-default
suburban,457,7.5,801,non-default
suburban,973,7,835,non-default
urban,228,7,671,non-default
urban,673,7.25,727,non-default
suburban,440,6.75,743,default
suburban,348,7.25,572,default
suburban,422,7,725,non-default
rural,497,6.75,594,non-default
suburban,97,6.25,534,default
suburban,908,7.25,761,default
rural,1131,7.25,722,default
suburban,522,7,709,default
urban,580,8,738,default
suburban,597,7.25,651,default
rural,876,7.25,727,default
urban,465,7,704,default
urban,493,7.25,699,non-default
rural,353,7.25,665,default
suburban,644,7.25,683,default
urban,427,7.75,521,default
suburban,304,6.75,636,default
suburban,825,7.25,707,default
suburban,449,7,799,default
rural,530,7.25,602,non-default
suburban,753,7.25,696,default
suburban,796,7.25,707,default
urban,499,7.25,513,default
suburban,352,7,645,default
urban,291,7.5,704,default
suburban,689,7.25,701,default
rural,343,7.25,637,non-default
suburban,728,7.75,595,default
urban,51,7,697,non-default
urban,308,8,724,default
suburban,647,7.5,659,default
urban,712,7,741,non-default
urban,626,7.25,725,default
suburban,609,7,696,default
suburban,232,7,582,default
suburban,653,7.5,660,default
urban,549,7,713,default
suburban,740,7.25,667,default
suburban,772,7.25,725,non-default
suburban,363,7.75,663,default
suburban,736,6.75,694,non-default
rural,266,7.75,585,default
suburban,845,7.25,694,default
suburban,401,7.5,609,default
suburban,228,7.25,585,default
suburban,294,7.25,540,default
rural,196,7.25,511,default
suburban,705,7.25,730,default
suburban,402,7.25,582,default
rural,175,7.5,590,non-default
rural,225,7.5,589,non-default
rural,435,7.5,629,non-default
urban,320,7.25,677,default
urban,81,7,711,non-default
rural,367,7.25,499,default
suburban,638,7.5,643,default
suburban,425,7.25,677,default
suburban,792,7.5,574,default
suburban,497,7.25,707,default
suburban,586,7.5,708,non-default
suburban,450,8,622,default
suburban,389,7,647,non-default
rural,677,6.5,652,non-default
rural,486,7.5,559,non-default
rural,422,7,788,default
suburban,489,7.25,695,default
suburban,532,8,516,default
suburban,907,7.5,670,non-default
suburban,729,7.25,740,default
suburban,775,7.5,642,default
suburban,685,7.25,747,default
suburban,495,7.25,685,default
suburban,729,7.25,685,non-default
urban,354,7.75,486,default
urban,233,7,559,non-default
suburban,759,7,730,default
rural,413,7.5,600,non-default
suburban,370,6.25,695,non-default
suburban,380,8,665,default
rural,423,7.25,642,non-default
urban,549,7.75,491,default
suburban,865,6.5,697,non-default
suburban,779,7.25,716,default
suburban,683,7,728,default
urban,230,8,736,default
rural,617,6.75,555,non-default
rural,392,7,479,non-default
suburban,244,7.5,655,default
urban,594,7.25,720,non-default
suburban,307,7.25,568,non-default
suburban,771,7.25,685,default
suburban,929,7.75,553,default
suburban,430,7.75,595,non-default
urban,448,7,659,default
suburban,377,7.25,720,default
urban,508,7.5,501,default
suburban,478,7.25,621,default
suburban,460,7.5,713,non-default
suburban,409,7.5,683,default
rural,509,7.25,625,non-default
rural,265,7.75,592,non-default
rural,655,6.75,621,non-default
suburban,471,8.25,618,default
suburban,422,7,725,default
urban,255,7,599,default
urban,713,7.75,611,default
suburban,658,7.25,724,default
suburban,368,7,685,non-default
suburban,633,7.25,696,default
suburban,675,7.75,623,default
suburban,310,7.75,641,default
suburban,674,6.75,679,non-default
suburban,452,7.25,669,default
rural,914,7.25,671,default
urban,646,7.25,669,non-default
urban,421,7.25,590,non-default
rural,772,7.25,706,default
urban,425,7,749,default
rural,388,7.5,629,default
rural,990,7.25,732,default
rural,951,7.25,771,default
urban,323,7,657,default
suburban,801,7.25,710,default
urban,703,6.75,805,non-default
suburban,652,7.25,673,default
urban,538,7.5,755,default
suburban,797,7.25,826,non-default
urban,501,7,709,default
urban,365,7,658,non-default
urban,196,7,568,default
suburban,745,7.25,701,default
suburban,577,7.25,765,default
suburban,814,7.5,641,non-default
urban,422,7,594,default
suburban,517,7.5,690,default
suburban,380,7.25,505,default
urban,342,6.75,730,default
urban,121,6.5,555,default
suburban,822,7.25,673,default
urban,471,6.75,727,default
suburban,635,7.25,701,default
suburban,408,7.75,632,default
suburban,729,8,517,default
suburban,634,7,716,default
rural,1317,7.5,742,default
suburban,798,7.5,614,default
suburban,807,7.5,672,default
suburban,248,6.5,567,default
rural,732,7.25,710,default
rural,528,7,656,non-default
suburban,367,7.5,670,default
suburban,620,7.5,635,default
rural,1388,7.5,676,default
suburban,762,7,755,non-default
suburban,632,7.25,631,default
suburban,468,7,732,default
suburban,333,7.5,632,default
suburban,313,6.75,663,non-default
suburban,400,6.75,716,non-default
urban,318,7,660,non-default
suburban,722,7.25,747,default
suburban,350,6.75,793,non-default
suburban,677,7,677,default
suburban,588,7.25,732,default
rural,152,8,598,default
suburban,679,7,721,default
rural,605,6.75,663,non-default
suburban,303,7.75,531,non-default
suburban,544,7.5,650,default
urban,389,6.75,677,default
rural,760,7.25,764,default
urban,574,7,636,default
suburban,649,7.5,508,default
suburban,285,7.75,633,default
suburban,1017,7.25,767,non-default
urban,464,7.5,586,default
suburban,850,6.75,672,non-default
suburban,398,7.5,572,default
suburban,390,7.5,657,default
suburban,676,7.5,625,default
suburban,268,7,555,default
rural,341,7,569,non-default
suburban,342,7,591,default
suburban,378,7,675,non-default
urban,400,6.5,798,default
suburban,553,7.5,659,default
suburban,447,7.25,677,default
suburban,539,7.75,588,non-default
urban,280,7.75,740,default
rural,416,7.25,580,non-default
suburban,216,7.25,688,default
suburban,290,7.75,628,default
suburban,738,7.25,742,default
suburban,350,7.25,610,default
suburban,489,7.25,681,non-default
rural,504,7.25,647,non-default
suburban,727,7.25,637,non-default
suburban,884,7.75,636,default
urban,394,7.25,649,non-default
urban,111,7,413,default
urban,283,7,739,default
urban,272,7,764,default
urban,507,7.25,684,non-default
suburban,703,7,702,default
urban,545,7.25,639,default
urban,168,6.75,542,default
rural,473,7.5,633,non-default
urban,292,7,683,non-default
rural,996,7.25,731,default
suburban,690,7.25,697,default
rural,795,6.25,651,non-default
suburban,771,7.25,659,default
suburban,897,7.25,651,default
suburban,640,7.25,696,default
urban,345,7.25,613,non-default
rural,863,7.25,731,default
urban,287,7,505,default
rural,396,7.5,593,non-default
urban,331,7.75,516,default
urban,394,7.75,484,default
suburban,454,7.5,612,non-default
suburban,441,7.25,700,default
suburban,819,7.25,668,default
suburban,260,7.25,496,default
suburban,675,6.75,701,non-default
suburban,587,7.25,728,default
rural,1078,7.5,699,default
rural,588,7,397,default
suburban,275,7.75,549,non-default
rural,491,7.25,590,non-default
urban,274,7,649,default
urban,428,7.25,619,default
rural,1060,7.5,637,default
urban,313,7.25,666,default
urban,280,7,698,default
urban,540,6.75,565,non-default
suburban,486,7.25,666,non-default
rural,1115,7.25,700,default
suburban,412,7.25,599,default
urban,496,7,696,default
suburban,484,7.25,659,non-default
rural,781,7.25,720,default
urban,234,8.25,691,default
suburban,844,6.75,675,non-default
suburban,623,7,727,non-default
suburban,441,7.25,707,default
suburban,392,7,718,default
rural,381,7.25,580,non-default
urban,568,7.25,633,non-default
suburban,691,8,535,default
rural,907,7.25,746,default
suburban,571,7,742,default
suburban,468,7.5,650,default
suburban,338,7.25,600,non-default
suburban,554,7.25,658,default
urban,164,6.75,363,default
suburban,382,7.75,462,default
suburban,654,7.25,701,default
urban,469,7.25,639,non-default
suburban,791,6.75,699,non-default
rural,807,7,656,non-default
suburban,597,7.25,728,default
rural,423,7.25,581,non-default
urban,443,7.25,607,default
suburban,554,7.25,759,default
suburban,457,7.5,696,default
suburban,449,7,668,non-default
rural,1139,7.25,673,default
suburban,657,7.25,664,default
urban,420,8.25,733,default
urban,558,7.5,712,default
rural,501,7,626,non-default
suburban,189,6.75,628,default
suburban,573,7.25,661,default
suburban,592,7.25,702,default
suburban,536,7.5,643,non-default
urban,401,7,720,default
suburban,651,7.25,668,default
suburban,163,7.75,639,default
urban,337,7,586,default
suburban,393,8,690,non-default
rural,520,7,597,non-default
rural,1162,7.25,669,default
rural,1061,7.25,757,default
suburban,677,7.25,692,default
rural,405,7,549,non-default
suburban,588,7.25,678,default
suburban,411,6.75,745,non-default
urban,374,7.25,539,default
rural,1374,7.25,707,default
suburban,702,7.25,679,default
suburban,661,7.25,702,non-default
suburban,702,7.5,643,non-default
rural,437,7,754,default
urban,417,7,714,non-default
suburban,732,6.5,710,non-default
rural,1022,7.25,651,default
suburban,587,7.75,590,default
rural,414,7.5,619,default
suburban,705,7,695,non-default
urban,638,7.25,668,default
suburban,454,7,693,default
suburban,425,7.5,673,default
urban,122,6.75,579,default
suburban,715,7.25,714,default
suburban,768,7.25,688,default
urban,429,6.75,701,default
suburban,438,7.25,816,non-default
suburban,815,7.25,647,default
urban,626,7.75,541,default
suburban,313,7,717,non-default
rural,302,6.75,574,non-default
rural,385,7.25,613,non-default
suburban,708,7,768,default
rural,411,7.25,599,non-default
suburban,843,7.25,717,non-default
suburban,473,7.25,756,non-default
suburban,573,7.25,675,default
urban,460,7,635,default
suburban,407,6.5,748,non-default
suburban,1093,7,795,default
rural,478,7.25,627,non-default
suburban,820,8,561,non-default
suburban,423,8,591,non-default
suburban,839,7.25,668,default
urban,530,7.5,665,non-default
urban,567,7.5,627,default
urban,259,7.25,526,default
rural,862,7.25,725,default
suburban,654,8,551,non-default
urban,636,7,673,default
suburban,441,7,746,default
suburban,703,7.25,736,default
rural,680,6.75,580,non-default
suburban,766,7.25,727,default
urban,417,7.5,433,default
urban,705,7.25,691,default
urban,301,7.75,425,default
suburban,955,8,592,non-default
suburban,787,7,769,non-default
urban,616,7.5,657,default
urban,264,7,694,default
urban,207,7.25,471,default
suburban,213,6.75,586,default
suburban,807,7.5,669,non-default
urban,648,7.75,592,default
suburban,624,7,707,default
suburban,589,7.25,663,default
suburban,365,7.5,652,non-default
suburban,659,7.25,593,default
urban,304,8.25,760,default
urban,148,7,409,default
suburban,602,7.25,742,default
suburban,640,7,794,default
urban,270,7,766,default
suburban,699,7.5,657,non-default
suburban,424,7.5,664,default
suburban,446,8,590,default
urban,449,7.25,613,default
urban,394,7.5,746,default
suburban,358,7.5,693,non-default
suburban,711,7.25,708,default
suburban,474,7.5,648,default
urban,223,7,687,non-default
suburban,563,7.75,677,non-default
urban,474,7.5,600,default
rural,458,6.75,616,non-default
rural,40,7.25,542,non-default
suburban,920,7.25,703,default
rural,1136,7.25,754,default
rural,225,7.5,617,default
suburban,585,7.5,509,default
suburban,597,7,720,default
suburban,515,7.25,697,default
suburban,982,7.5,624,non-default
urban,196,7.5,697,default
suburban,330,7.25,586,non-default
suburban,241,7.5,658,default
urban,554,7.25,722,non-default
suburban,338,7.5,583,non-default
rural,398,6.75,588,non-default
suburban,689,7.25,676,default
urban,534,7,740,default
suburban,604,7.25,645,default
rural,713,7.25,713,default
urban,612,7.25,729,default
suburban,459,7.5,656,default
suburban,418,7.5,639,non-default
suburban,309,7.25,587,default
suburban,368,7,723,default
suburban,766,7.5,649,non-default
rural,517,6.75,660,non-default
urban,612,7,735,non-default
urban,431,7.25,653,non-default
suburban,537,7.25,726,default
rural,380,7.5,610,non-default
suburban,306,7,791,non-default
suburban,427,7.5,705,default
urban,195,8,692,default
suburban,915,7.25,714,default
urban,443,7,702,default
suburban,759,7,754,non-default
rural,209,7.75,596,non-default
suburban,746,7.5,640,non-default
suburban,548,7.25,706,default
urban,508,7.25,700,default
suburban,236,8.25,640,default
